date,open,high,low,close,volume,cma,y
 2016/05/13,2828.46,2850.09,2814.11,2827.11,114319712,2833.5214285714,-1
 2016/05/16,2816.78,2851.23,2804.99,2850.86,114653592,2829.8528571429,-1
 2016/05/17,2850.93,2860.32,2832.46,2843.68,123369064,2828.2014285714,-1
 2016/05/18,2828.18,2828.26,2781.42,2807.51,140487824,2829.3142857143,-1
 2016/05/19,2802.31,2829.4,2801.55,2806.91,111595072,2828.5371428571,-1
 2016/05/20,2792.89,2825.95,2785.08,2825.48,108700896,2823.4271428571,-1
 2016/05/23,2826.31,2848.07,2826.26,2843.65,120470456,2820.3928571429,-1
 2016/05/24,2839.68,2839.7,2807.19,2821.67,111452448,2822.3271428571,1
 2016/05/25,2835.03,2843.17,2807.75,2815.09,103527264,2824.5471428571,1
 2016/05/26,2813.54,2827.09,2780.76,2822.44,114766800,2837.5671428571,1
 2016/05/27,2817.97,2832.8,2809.8,2821.05,109845824,2847.5471428571,1
 2016/05/30,2814.65,2830.97,2794.66,2822.45,106319592,2862.3414285714,1
 2016/05/31,2822.59,2917.14,2822.59,2916.62,215260336,2879.9971428571,1
 2016/06/01,2917.15,2929.08,2909.51,2913.51,188386416,2895.9485714286,1
 2016/06/02,2911.22,2925.67,2906.52,2925.23,159716912,2912.3757142857,-1
 2016/06/03,2929.79,2945.52,2915.19,2938.68,172021024,2927.3342857143,-1
 2016/06/06,2940.99,2945.94,2922.28,2934.1,141993744,2915.3985714286,-1
 2016/06/07,2936.28,2938.44,2923.5,2936.04,132987864,2905.21,-1
 2016/06/08,2932.38,2937.99,2908.37,2927.16,143046064,2899.7785714286,-1
 2016/06/13,2897.27,2911.16,2832.51,2833.07,169255440,2890.37,-1
 2016/06/14,2824.23,2843.46,2822.06,2842.19,119755272,2883.3714285714,1
 2016/06/15,2814.69,2894.26,2811.78,2887.21,166671072,2876.6242857143,1
 2016/06/16,2878.4,2887.74,2865.39,2872.82,173882768,2869.6814285714,1
 2016/06/17,2873.01,2900.3,2872.18,2885.11,171472512,2880.0357142857,-1
 2016/06/20,2887.64,2891.66,2864.02,2888.81,136571056,2887.1457142857,-1
 2016/06/21,2898.38,2919.3,2869.18,2878.56,164359088,2882.4428571429,1
 2016/06/22,2872.73,2905.98,2869.51,2905.55,130590424,2885.7114285714,1
 2016/06/23,2902.4,2904.11,2878.66,2891.96,136137376,2889.6328571429,1
 2016/06/24,2883.76,2899.57,2807.6,2854.29,190842608,2895.7442857143,1
 2016/06/27,2840.56,2895.73,2840.28,2895.7,156697472,2903.0371428571,1
 2016/06/28,2885.01,2913.58,2878.82,2912.56,173871040,2906.8842857143,1
 2016/06/29,2918.53,2934,2915.06,2931.59,193215584,2920.69,1
 2016/06/30,2931.48,2938.14,2922.31,2929.61,154464928,2942.4185714286,1
 2016/07/01,2931.8,2944.99,2925.81,2932.48,141246224,2959.7885714286,1
 2016/07/04,2924.29,2992.5,2922.52,2988.6,222017136,2974.6871428571,1
 2016/07/05,2991.75,3010.27,2990.64,3006.39,235204448,2982.7585714286,1
 2016/07/06,2998.52,3017.65,2984.83,3017.29,212370912,2992.0885714286,1
 2016/07/07,3009.35,3024.11,2994.64,3016.85,222681664,3008.7885714286,1
 2016/07/08,3000.33,3001.55,2983.88,2988.09,168986864,3019.0871428571,1
 2016/07/11,2993.75,3022.94,2990.91,2994.92,224338224,3025.8914285714,1
 2016/07/12,2992.52,3049.68,2984.42,3049.38,259486288,3031.1785714286,1
 2016/07/13,3049.51,3069.05,3048.2,3060.69,253659392,3034.9942857143,1
 2016/07/14,3054.97,3057.05,3036.52,3054.02,180194800,3041.9242857143,-1
 2016/07/15,3056.68,3062.68,3044.54,3054.3,172866400,3046.6357142857,-1
 2016/07/18,3047.64,3058.32,3031.64,3043.56,177496560,3045.1542857143,-1
 2016/07/19,3040.23,3043.6,3014.29,3036.6,155361472,3038.3157142857,-1
 2016/07/20,3034.71,3043,3022.63,3027.9,138242816,3032.86,-1
 2016/07/21,3027.6,3053.33,3027.37,3039.01,163767376,3032.27,-1
 2016/07/22,3038.12,3039.27,3007.46,3012.82,162010176,3024.9042857143,-1
 2016/07/25,3008.09,3027.12,3003.29,3015.83,144206576,3018.8642857143,-1
 2016/07/26,3014.04,3050.61,3013.8,3050.17,156694512,3011.9271428571,-1
 2016/07/27,3050.37,3057.42,2939.23,2992,280160928,2999.6957142857,-1
 2016/07/28,2980.5,3003.36,2968.18,2994.32,190564944,2993.7614285714,-1
 2016/07/29,2992.54,3000.05,2972.92,2979.34,150101536,2988.4228571429,-1
 2016/08/01,2971.95,2972.88,2931.96,2953.39,147407760,2978.7457142857,1
 2016/08/02,2950.08,2971.28,2946.64,2971.28,115468896,2976.56,1
 2016/08/03,2963.21,2981.16,2956.79,2978.46,141141328,2977.9828571429,1
 2016/08/04,2976.41,2982.86,2958.93,2982.43,133933304,2984.6028571429,1
 2016/08/05,2978.78,2991.68,2971.56,2976.7,141857104,2993.94,1
 2016/08/08,2972.62,3004.72,2959.05,3004.28,155729840,2998.42,1
 2016/08/09,3001.31,3025.91,2998.68,3025.68,169995440,3008.7357142857,1
 2016/08/10,3023.47,3033.2,3017.09,3018.75,164675168,3029.1314285714,1
 2016/08/11,3013.68,3038.05,3001.17,3002.64,161879488,3048.18,1
 2016/08/12,3000.27,3051.05,2999.04,3050.67,168173664,3063.2185714286,1
